"Date","Time (ET)","Where","Favorite","FavDiv","Underdog","UDDiv","Spread","OULine","FavScore","UDogScore","OT","Differential","Total","OverUnder","SpreadWin","Winner","SpreadWinTeam","WinTeam"
2020-11-01,"1:00","Home","GB","NFC North","MIN","NFC North",-5.5,47,22,28,"No",-6,50,"O","Underdog","Underdog","MIN","MIN"
2020-11-01,"1:00","Home","KC","AFC West","NYJ","AFC East",-20,49,35,9,"No",26,44,"U","Favorite","Favorite","KC","KC"
2020-11-01,"1:00","Away","LA","NFC West","MIA","AFC East",-3.5,46.5,17,28,"No",-11,45,"U","Underdog","Underdog","MIA","MIA"
2020-11-01,"4:04","Away","LAC","AFC West","DEN","AFC West",-3,44.5,30,31,"No",-1,61,"O","Underdog","Underdog","DEN","DEN"
2020-11-01,"4:25","Away","NO","NFC South","CHI","NFC North",-5.5,41,26,23,"Yes",3,49,"O","Underdog","Favorite","CHI","NO"
2020-11-01,"4:25","Home","SEA","NFC West","SF","NFC West",-1,54.5,37,27,"No",10,64,"O","Favorite","Favorite","SEA","SEA"
2020-11-01,"8:20","Home","PHI","NFC East","DAL","NFC East",-10.5,43,23,9,"No",14,32,"U","Favorite","Favorite","PHI","PHI"
2020-11-02,"8:15","Away","TB","NFC South","NYG","NFC East",-13,47,25,23,"No",2,48,"O","Underdog","Favorite","NYG","TB"
2020-11-05,"8:20","Away","GB","NFC North","SF","NFC West",-6,48.5,34,17,"No",17,51,"O","Favorite","Favorite","GB","GB"
2020-11-08,"1:00","Home","ATL","NFC South","DEN","AFC West",-4.5,50.5,34,27,"No",7,61,"O","Favorite","Favorite","ATL","ATL"
2020-11-08,"1:00","Away","SEA","NFC West","BUF","AFC East",-3,55.5,34,44,"No",-10,78,"O","Underdog","Underdog","BUF","BUF"
2020-11-08,"1:00","Home","IND","AFC South","BAL","AFC North",-1,47.5,10,24,"No",-14,34,"U","Underdog","Underdog","BAL","BAL"
2020-11-08,"1:00","Away","HOU","AFC South","JAC","AFC South",-7,49,27,25,"No",2,52,"O","Underdog","Favorite","JAC","HOU"
2020-11-08,"1:00","Home","KC","AFC West","CAR","NFC South",-10,51.5,33,31,"No",2,64,"O","Underdog","Favorite","CAR","KC"
2020-11-08,"1:00","Home","MIN","NFC North","DET","NFC North",-3,51.5,34,20,"No",14,54,"O","Favorite","Favorite","MIN","MIN"
2020-11-08,"1:00","Home","TEN","AFC South","CHI","NFC North",-6.5,46.5,24,17,"No",7,41,"U","Favorite","Favorite","TEN","TEN"
2020-11-08,"1:00","Home","WAS","NFC East","NYG","NFC East",-3,43.5,20,23,"No",-3,43,"U","Underdog","Underdog","NYG","NYG"
2020-11-08,"4:04","Away","LV","AFC West","LAC","AFC West",-1,52.5,31,26,"No",5,57,"O","Favorite","Favorite","LV","LV"
2020-11-08,"4:25","Home","ARI","NFC West","MIA","AFC East",-6,49,31,34,"No",-3,65,"O","Underdog","Underdog","MIA","MIA"
2020-11-08,"4:25","Away","PIT","AFC North","DAL","NFC East",-14,44,24,19,"No",5,43,"U","Underdog","Favorite","DAL","PIT"
2020-11-08,"8:20","Home","TB","NFC South","NO","NFC South",-3,51,3,38,"No",-35,41,"U","Underdog","Underdog","NO","NO"
2020-11-09,"8:15","Away","NE","AFC East","NYJ","AFC East",-9,42,30,27,"No",3,57,"O","Underdog","Favorite","NYJ","NE"
2020-11-12,"8:20","Away","IND","AFC South","TEN","AFC South",-1,49.5,34,17,"No",17,51,"O","Favorite","Favorite","IND","IND"
2020-11-15,"1:00","Away","TB","NFC South","CAR","NFC South",-6,49.5,46,23,"No",23,69,"O","Favorite","Favorite","TB","TB"
