"Date","Favorite","Underdog","Fav.Comp","Fav.PassAtt","Fav.CompPCT","Fav.PassYds","Fav.PassYPA","Fav.PassYPR","Fav.PassTD","Fav.OINT","Fav.OSCK","Fav.OSCKYDS","Fav.QBR","Fav.P1st","Fav.RushAtt","Fav.RushYds","Fav.RushYPA","Fav.RushTD","Fav.R1st","Fav.PA","Fav.Tckl","Fav.Solo","Fav.AstTckl","Fav.DSck","Fav.DSCKYds","Fav.INT","Fav.INTTD","Fav.FF","Fav.FumRec","Fav.FumTD","Fav.PassDef","Fav.Sfty","Fav.KPts","Fav.FGM","Fav.FGA","Fav.FGPct","Fav.FGLng","Fav.XPM","Fav.XPA","Fav.XPPct","Fav.KR","Fav.KRYds","Fav.KRAvg","Fav.KRTD","Fav.KRLng","Fav.PR","Fav.PRYds","Fav.PRAvg","Fav.PRTD","Fav.PRLng","Fav.Punts","Fav.PuntYds","Fav.PuntAvg","Fav.X1st","Fav.X3rdCon","Fav.X3rdAtt","Fav.X3rdPct","Fav.X4thCon","Fav.X4thAtt","Fav.X4thPct","Fav.Pen","Fav.PenYds","Fav.TotYds","Fav.PlusMinus","Fav.FUML.turnovers","Fav.PF"
2020-09-27,"BUF","LA",28.5,40.5,70.15,358.5,9.2,13.4,3,0,2,5,125.65,16,27.5,105,4,0.5,7.5,22.5,55,38,17,3,15,0.5,0,1,0.5,0,5.5,0,8,1.5,2.5,75,30.5,3.5,3.5,100,1,15,15,0,15,3.5,43,11.3,0,17,2.5,108.5,47,27,6,12,50,0.5,0.5,50,6.5,67,463.5,-0.5,1.5,29
2020-09-27,"CLE","WAS",18.5,31,61.7,193.5,6.9,11.35,1.5,1,1,10.5,87.8,9.5,31,176.5,5.6,1.5,10,34,62,43.5,18.5,2.5,22.5,0,0,1,1,0,3.5,0,2.5,0,0.5,0,0,2.5,3,50,0,0,NA,0,0,1,7,7,0,7,2,90,44.35,21.5,4,10,43.75,0.5,2.5,25,8,78,370,-1,1,20.5
2020-09-27,"TEN","MIN",23.5,33.5,71.2,239,7.65,10.95,3,0,1,5,121.8,14.5,34,126.5,3.7,0,6.5,22,63,43,20,1,12,1,0,1,0.5,0,6.5,0,6.5,1.5,3,62.5,38,2,3,62.5,2.5,36.5,16.25,0,21,2,9.5,3.15,0,5.5,3.5,163,45.85,24.5,7,13.5,53.7,0.5,0.5,50,4.5,33.5,365.5,1.5,0,24.5
2020-09-27,"NE","LV",22.5,31.5,73.55,268.5,8.2,11.75,0.5,0.5,1.5,7.5,97.65,15,33.5,142,3.95,2.5,11.5,23,62.5,42,20.5,1.5,11,2,0.5,0,0,0,3,0,4.5,0.5,1.5,25,12.5,3,3,100,2,49.5,24.8,0,15,1,0,0,0,0,2.5,116,48.1,29,6,11,54.15,1,1,100,2.5,29.5,410.5,1,0.5,25.5
2020-09-27,"SF","NYG",20.5,30,69.55,210,7,11.4,2,0.5,3,20.5,105.05,11,27,152.5,5.6,1,4.5,18.5,67,43,24,1.5,6,0.5,0,1,0,0,4.5,0,7.5,1.5,1.5,100,49,3,3,100,2,43.5,19.85,0,22.5,1.5,14.5,9.7,0,6,4.5,188.5,42.7,17.5,4.5,12,36,0,1,0,5,56,362.5,0,0,25.5
2020-09-27,"PHI","CIN",25,42.5,58.8,225,5.3,10.3,1,2,4,31,64.5,13,21.5,89,4.05,1,7,32,60,41.5,18.5,2,14,0,0,1,0.5,0,2,0,6,1.5,2,75,38,1.5,1.5,100,1.5,30.5,20.3,0,12.5,1.5,7,4.7,0,4,3.5,194.5,57.05,22,6,13,47,0,1.5,0,4,25,314,-2.5,1,18
2020-09-27,"PIT","HOU",25,36.5,68.15,254.5,6.9,10.8,2.5,0.5,1.5,15.5,108.25,14.5,26,125,4.85,0.5,4.5,18.5,53.5,40.5,13,5,39,1.5,0,0.5,0.5,0,5.5,0.5,7,1.5,1.5,100,31,2.5,3,83.35,2,60.5,31.15,0,41,2.5,19,8.4,0,15,4.5,196,43.8,19,5,13.5,35,1,1.5,75,6.5,55,379.5,0.5,1,26
2020-09-27,"IND","NYJ",27.5,35.5,77.15,280,7.95,10.7,1,1.5,1.5,8.5,93.25,13.5,31,119.5,3.9,1,8,19,43.5,31.5,12,3.5,20.5,1.5,0,0,0,0,5,0.5,11,3,3.5,83.35,41,2,2,100,2.5,58.5,21.75,0,32.5,2,20,10,0,8,1,43.5,43.5,25.5,3.5,11.5,30.3,1,2,66.65,7,86.5,399.5,0,0,24
2020-09-27,"LAC","CAR",19,31.5,60,251.5,7.95,13.55,0.5,0.5,2,8,84.9,12,41.5,169,4.1,1,10,18,62,42,20,2,16.5,0.5,0,0.5,0.5,0,4,0,9,2.5,3,87.5,42,1.5,1.5,100,2.5,65.5,33.65,0,37,1.5,5,3.25,0,5,4,187.5,46.25,23.5,6,14.5,41.85,0.5,2,25,6,37.5,420.5,0.5,0,18
2020-09-27,"ARI","DET",26,39,66.7,251,6.45,9.9,1,1,2.5,7,83.2,12.5,34,170,5,2,10.5,17.5,51.5,39,12.5,3.5,20,0,0,1,1,0,3,0,9,2,3,66.65,52.5,3,3,100,1,21,21,0,21,2,6.5,3.25,0,6,4,194,48.55,25.5,7,15.5,45.6,1,1,50,10,99.5,421,0,0,27
2020-09-27,"TB","DEN",23,35.5,64.8,220.5,6.2,9.9,1.5,1.5,1.5,7.5,79.35,10.5,24,104,4.4,2,6,25.5,67,46.5,20.5,3,18,1,0,1,1,0,4,0,6,1,1.5,75,35.5,3,3,100,0.5,0,0,0,0,1,0,0,0,0,4.5,202,44.6,21.5,5,12,42,0.5,0.5,50,7,70,324.5,-0.5,1,27
2020-09-27,"SEA","DAL",26,31.5,81.8,287,9.15,12.05,4.5,0.5,2.5,18,137.6,13,25,119,4.65,0.5,8,27.5,62.5,43,19.5,1.5,8,1,0,0.5,0.5,0,5,0,6.5,0.5,0.5,100,21,5,5,100,2.5,66,25.6,0,34,1,17.5,17.5,0,17.5,4,195.5,48.9,22,3,8,38.1,0.5,0.5,50,7.5,57,406,1,0,36.5
2020-09-27,"NO","GB",22.5,34.5,64.85,250.5,7.15,11.2,1.5,0.5,0.5,4.5,96.2,13.5,26.5,97,4.15,1.5,6.5,28.5,65.5,45,20.5,3,19,1,0.5,0.5,1,0,4,0,8,1.5,1.5,100,30,3.5,3.5,100,1,32,32,0,17.5,2,29.5,14.8,0,9,4.5,186.5,40.15,22,6,13,48.45,0,0.5,0,8,124,347.5,1.5,0,29
2020-09-28,"BAL","KC",19.5,25,77.9,223.5,8.9,12.4,2,0,3,20.5,132.25,13.5,33.5,170.5,4.95,1.5,9,11,58.5,38,20.5,3,21.5,1,0,2,1.5,0.5,5,0,11.5,2.5,2.5,100,44,4,4,100,2.5,59.5,25.15,0,29.5,1.5,17,10.5,0,12.5,2.5,109.5,44.35,23,5.5,12.5,45.1,1,1,50,5,43.5,394,2,0.5,35.5
2020-10-01,"NYJ","DEN",19.6666666666667,32,61.4,175.333333333333,5.46666666666667,9.53333333333333,1,1.33333333333333,2,12,70.9333333333333,8.33333333333333,24.3333333333333,88.3333333333333,3.63333333333333,0.333333333333333,5.33333333333333,31.3333333333333,64.3333333333333,44.3333333333333,20,2,10.3333333333333,0.333333333333333,0,1,0.666666666666667,0,4.33333333333333,0,4.33333333333333,1,1,100,24,1.33333333333333,1.33333333333333,100,3,61,20.0333333333333,0,29.3333333333333,0,0,NA,0,0,5.33333333333333,236.666666666667,44.2333333333333,15.6666666666667,4,12.3333333333333,32.3666666666667,0,1,0,7,72.3333333333333,263.666666666667,-0.666666666666667,0.333333333333333,12.3333333333333
